B (G);EPR intensity (au);Sim Sum;Sim A;Sim B
3321.0007;-0.008316614;0.006224952;0.002305249;0.003919703
3321.0858;0.000940641;0.00642844;0.002322876;0.004105564
3321.1709;-0.000983111;0.006632809;0.002340682;0.004292127
3321.256;0.004878269;0.006837577;0.002358671;0.004478907
3321.3411;-0.01606749;0.007042272;0.002376843;0.004665428
3321.4263;-0.025995126;0.00724643;0.002395202;0.004851228
3321.5114;-0.024904637;0.007449611;0.002413751;0.00503586
3321.5965;-0.026746;0.007651391;0.00243249;0.005218901
3321.6816;-0.057570665;0.007851374;0.002451424;0.00539995
3321.7667;-0.002967224;0.008049191;0.002470554;0.005578637
3321.8518;-0.018674285;0.008244506;0.002489883;0.005754623
3321.937;-0.037063196;0.008437016;0.002509414;0.005927602
3322.0221;-0.021431812;0.008626451;0.002529148;0.006097303
3322.1072;-0.007677345;0.008812582;0.00254909;0.006263492
3322.1923;-0.015885262;0.008995214;0.002569241;0.006425973
3322.2774;-0.051495973;0.009174193;0.002589605;0.006584588
3322.3625;0.009248644;0.0093494;0.002610183;0.006739217
3322.4477;-0.025304287;0.009520756;0.00263098;0.006889776
3322.5328;0.004033701;0.009688215;0.002651997;0.007036218
3322.6179;-0.038049624;0.009851769;0.002673238;0.00717853
3322.703;0.020051967;0.010011438;0.002694706;0.007316732
3322.7881;-0.021517147;0.010167278;0.002716404;0.007450875
3322.8732;-0.035742182;0.01031937;0.002738334;0.007581036
3322.9584;-0.004330306;0.01046782;0.002760501;0.007707319
3323.0435;0.000485607;0.010612759;0.002782906;0.007829853
3323.1286;-0.024878766;0.010754337;0.002805554;0.007948783
3323.2137;0.019045571;0.010892721;0.002828448;0.008064273
3323.2988;-0.032649611;0.011028092;0.00285159;0.008176502
3323.3839;-0.015736962;0.011160645;0.002874985;0.00828566
3323.4691;-0.010839609;0.011290581;0.002898636;0.008391945
3323.5542;-0.008153456;0.011418108;0.002922545;0.008495563
3323.6393;0.020068041;0.011543439;0.002946718;0.008596721
3323.7244;-0.009779341;0.011666787;0.002971157;0.00869563
3323.8095;-0.007408533;0.011788366;0.002995866;0.0087925
3323.8946;-0.013920408;0.011908387;0.003020849;0.008887537
3323.9798;0.008783031;0.012027056;0.00304611;0.008980947
3324.0649;0.010111213;0.012144577;0.003071652;0.009072925
3324.15;0.002741373;0.012261144;0.003097479;0.009163665
