B (G);EPR intensity (au);Sim Sum;Sim A;Sim B
3322.7667;0.023699866;0.003329322;0.001002276;0.002327046
3322.8519;0.011559518;0.0034482;0.001010417;0.002437784
3322.937;0.002942726;0.003567627;0.001018646;0.002548981
3323.0222;0.000103928;0.003687318;0.001026965;0.002660353
3323.1074;-0.010223317;0.003806992;0.001035375;0.002771618
3323.1925;-0.001406223;0.003926378;0.001043876;0.002882502
3323.2777;0.006540275;0.004045213;0.001052471;0.002992742
3323.3629;0.009470688;0.004163249;0.00106116;0.003102089
3323.448;-0.008610685;0.004280249;0.001069945;0.003210305
3323.5332;-0.00059612;0.004395998;0.001078827;0.003317171
3323.6183;0.003881715;0.004510295;0.001087807;0.003422488
3323.7035;-0.000204243;0.00462296;0.001096887;0.003526073
3323.7887;-0.000681562;0.004733836;0.001106068;0.003627768
3323.8738;-0.001006829;0.004842785;0.001115352;0.003727433
3323.959;-0.01148887;0.004949693;0.00112474;0.003824954
3324.0441;0.00408605;0.005054469;0.001134233;0.003920235
3324.1293;-0.007490002;0.005157041;0.001143834;0.004013208
3324.2145;-0.009283096;0.005257363;0.001153542;0.004103821
3324.2996;0.00936032;0.005355408;0.001163361;0.004192047
3324.3848;-0.013250788;0.00545117;0.001173291;0.004277878
3324.47;-0.002450425;0.005544662;0.001183335;0.004361327
3324.5551;-0.011490439;0.005635916;0.001193493;0.004442423
3324.6403;0.01016713;0.00572498;0.001203767;0.004521212
3324.7254;0.005133177;0.005811917;0.00121416;0.004597757
3324.8106;0.000907243;0.005896804;0.001224672;0.004672131
3324.8958;0.008130256;0.005979729;0.001235306;0.004744423
3324.9809;0.003116614;0.006060792;0.001246063;0.004814729
3325.0661;0.009885665;0.006140101;0.001256946;0.004883155
3325.1513;-0.010193797;0.006217768;0.001267955;0.004949813
3325.2364;-0.005070426;0.006293914;0.001279092;0.005014822
3325.3216;0.005759031;0.006368662;0.00129036;0.005078302
3325.4067;0.01671529;0.006442137;0.001301761;0.005140376
3325.4919;0.005012985;0.006514467;0.001313296;0.005201171
3325.5771;-0.000685168;0.006585777;0.001324968;0.005260809
3325.6622;-0.000954445;0.006656192;0.001336778;0.005319414
3325.7474;0.01151136;0.006725834;0.001348729;0.005377106
3325.8325;0.011047764;0.006794825;0.001360822;0.005434003
3325.9177;0.00030114;0.006863278;0.00137306;0.005490219
3326.0029;0.012819641;0.006931307;0.001385445;0.005545862
3326.088;0.009223325;0.006999016;0.001397978;0.005601038
3326.1732;0.005972833;0.007066509;0.001410664;0.005655845
3326.2584;-0.001705845;0.007133879;0.001423502;0.005710377
3326.3435;-0.003803045;0.00720122;0.001436497;0.005764722
3326.4287;-0.000751319;0.007268614;0.00144965;0.005818963
3326.5138;0.007169379;0.007336141;0.001462964;0.005873177
3326.599;0.00068736;0.007403876;0.001476441;0.005927435
3326.6842;0.008554812;0.007471887;0.001490084;0.005981803
3326.7693;0.001750024;0.007540238;0.001503895;0.006036342
3326.8545;0.003189006;0.007608986;0.001517877;0.006091109
3326.9396;0.01414197;0.007678187;0.001532032;0.006146155
3327.0248;0.01829539;0.00774789;0.001546364;0.006201526
3327.11;0.010311509;0.00781814;0.001560874;0.006257266
3327.1951;0.011743355;0.00788898;0.001575566;0.006313414
3327.2803;0.009949712;0.007960449;0.001590443;0.006370006
3327.3655;0.000147788;0.008032581;0.001605507;0.006427074
3327.4506;-0.004241177;0.00810541;0.001620762;0.006484648
3327.5358;-0.010298327;0.008178966;0.00163621;0.006542756
3327.6209;-0.00927653;0.008253277;0.001651855;0.006601423
3327.7061;0.013155573;0.008328369;0.001667699;0.00666067
3327.7913;-0.001522458;0.008404266;0.001683746;0.00672052
3327.8764;-0.003379777;0.008480991;0.001699999;0.006780992
3327.9616;0.005399441;0.008558565;0.001716462;0.006842103
3328.0467;0.013371738;0.008637009;0.001733137;0.006903872
3328.1319;0.009651914;0.008716342;0.001750028;0.006966313
3328.2171;0.004034453;0.008796582;0.001767139;0.007029443
3328.3022;-0.000923199;0.008877748;0.001784474;0.007093274
3328.3874;0.008389575;0.008959856;0.001802035;0.007157821
3328.4726;-0.011469768;0.009042925;0.001819827;0.007223098
3328.5577;0.003966823;0.009126969;0.001837854;0.007289116
3328.6429;0.005200506;0.009212007;0.001856118;0.007355889
3328.728;0.001961541;0.009298053;0.001874625;0.007423428
3328.8132;-0.005763796;0.009385125;0.001893378;0.007491746
3328.8984;0.011268524;0.009473237;0.001912382;0.007560855
3328.9835;0.001731732;0.009562407;0.00193164;0.007630767
3329.0687;0.016252166;0.00965265;0.001951157;0.007701493
3329.1539;0.003757761;0.009743982;0.001970937;0.007773046
3329.239;0.012562779;0.009836421;0.001990985;0.007845436
3329.3242;0.001607563;0.009929982;0.002011304;0.007918677
3329.4093;0.000794301;0.010024681;0.002031901;0.00799278
3329.4945;0.007706622;0.010120537;0.002052779;0.008067758
3329.5797;0.005506225;0.010217565;0.002073943;0.008143622
3329.6648;0.009770528;0.010315784;0.002095398;0.008220385
3329.75;0.021433253;0.01041521;0.00211715;0.00829806
3329.8351;0.010905101;0.010515862;0.002139203;0.008376659
3329.9203;0.018643556;0.010617757;0.002161562;0.008456195
3330.0055;0.004399176;0.010720914;0.002184233;0.008536681
3330.0906;0.00040928;0.010825352;0.002207222;0.008618131
3330.1758;0.016477685;0.010931089;0.002230533;0.008700556
3330.261;0.005827672;0.011038145;0.002254173;0.008783972
3330.3461;-0.005460194;0.011146539;0.002278147;0.008868392
3330.4313;0.012679308;0.011256291;0.002302461;0.00895383
3330.5164;0.011813899;0.011367421;0.002327122;0.009040299
3330.6016;0.00924627;0.01147995;0.002352135;0.009127815
3330.6868;-0.004431619;0.011593898;0.002377507;0.009216392
3330.7719;0.012297693;0.011709287;0.002403244;0.009306044
3330.8571;0.002596224;0.011826139;0.002429352;0.009396786
3330.9422;0.010709595;0.011944474;0.00245584;0.009488634
3331.0274;0.011833493;0.012064315;0.002482712;0.009581603
3331.1126;0.009045196;0.012185686;0.002509977;0.009675709
3331.1977;0.003713725;0.012308608;0.002537641;0.009770967
3331.2829;0.01004144;0.012433106;0.002565712;0.009867394
3331.3681;-7.45E-05;0.012559202;0.002594198;0.009965005
3331.4532;-0.005633195;0.012686922;0.002623105;0.010063817
3331.5384;0.013002537;0.01281629;0.002652442;0.010163848
3331.6235;0.00447522;0.01294733;0.002682217;0.010265114
3331.7087;0.021588231;0.013080069;0.002712438;0.010367631
3331.7939;0.004006381;0.013214531;0.002743113;0.010471419
3331.879;0.007396794;0.013350744;0.00277425;0.010576494
3331.9642;0.00506191;0.013488733;0.00280586;0.010682874
3332.0494;-0.007254643;0.013628527;0.00283795;0.010790577
3332.1345;0.006294192;0.013770152;0.002870529;0.010899623
3332.2197;0.005265203;0.013913637;0.002903607;0.011010029
3332.3048;0.008057286;0.01405901;0.002937194;0.011121815
3332.39;-0.003438622;0.0142063;0.0029713;0.011235
3332.4752;0.010122839;0.014355537;0.003005933;0.011349604
3332.5603;0.010327285;0.01450675;0.003041105;0.011465645
3332.6455;0.010578391;0.01465997;0.003076826;0.011583144
3332.7306;0.019038135;0.014815229;0.003113107;0.011702122
3332.8158;0.012617595;0.014972557;0.003149958;0.011822599
3332.901;0.001662379;0.015131987;0.003187391;0.011944596
3332.9861;0.013158231;0.015293551;0.003225418;0.012068133
3333.0713;0.012604611;0.015457282;0.00326405;0.012193233
3333.1565;0.003644192;0.015623215;0.003303299;0.012319916
3333.2416;0.003351312;0.015791382;0.003343177;0.012448205
3333.3268;0.00247163;0.01596182;0.003383698;0.012578122
3333.4119;0.001052354;0.016134563;0.003424873;0.01270969
3333.4971;0.005795869;0.016309648;0.003466717;0.012842931
3333.5823;-0.014497674;0.016487111;0.003509243;0.012977867
3333.6674;0.000431161;0.016666989;0.003552465;0.013114524
3333.7526;0.019206319;0.01684932;0.003596397;0.013252923
3333.8377;0.015523821;0.017034142;0.003641053;0.013393089
3333.9229;0.018627695;0.017221495;0.003686449;0.013535047
3334.0081;0.002120094;0.017411419;0.003732599;0.01367882
3334.0932;0.015309382;0.017603953;0.00377952;0.013824433
3334.1784;0.009850561;0.01779914;0.003827228;0.013971912
3334.2636;0.011659518;0.017997019;0.003875739;0.014121281
3334.3487;0.007622964;0.018197635;0.00392507;0.014272566
3334.4339;0.016409867;0.01840103;0.003975238;0.014425793
3334.519;0.008925509;0.018607249;0.004026261;0.014580988
3334.6042;0.006221747;0.018816335;0.004078158;0.014738177
3334.6894;0.007086551;0.019028334;0.004130946;0.014897388
3334.7745;0.011377202;0.019243292;0.004184646;0.015058646
3334.8597;-0.006258991;0.019461256;0.004239276;0.01522198
3334.9448;0.003348008;0.019682273;0.004294858;0.015387416
3335.03;0.005362812;0.019906393;0.004351411;0.015554982
3335.1152;0.007496734;0.020133664;0.004408957;0.015724707
3335.2003;0.014017122;0.020364136;0.004467518;0.015896618
3335.2855;0.017279086;0.020597859;0.004527116;0.016070744
3335.3707;0.00576671;0.020834887;0.004587773;0.016247113
3335.4558;0.025550245;0.02107527;0.004649515;0.016425755
3335.541;0.024421351;0.021319063;0.004712364;0.016606699
3335.6261;0.011202913;0.021566319;0.004776346;0.016789973
3335.7113;0.024616164;0.021817094;0.004841486;0.016975608
3335.7965;0.016524694;0.022071443;0.00490781;0.017163633
3335.8816;0.001053464;0.022329423;0.004975345;0.017354078
3335.9668;0.012024544;0.022591093;0.00504412;0.017546974
3336.052;0.014438417;0.02285651;0.005114161;0.017742349
3336.1371;0.018707661;0.023125735;0.005185499;0.017940236
3336.2223;0.008404019;0.023398828;0.005258163;0.018140664
3336.3074;0.006617512;0.02367585;0.005332185;0.018343665
3336.3926;0.00075029;0.023956863;0.005407595;0.018549268
3336.4778;0.011069793;0.024241932;0.005484427;0.018757505
3336.5629;0.001167417;0.024531121;0.005562714;0.018968407
3336.6481;0.019590165;0.024824495;0.00564249;0.019182005
3336.7332;0.01948886;0.02512212;0.005723791;0.019398329
3336.8184;0.022872138;0.025424065;0.005806653;0.019617412
3336.9036;0.009282626;0.025730397;0.005891114;0.019839283
3336.9887;0.023195398;0.026041187;0.005977212;0.020063975
3337.0739;0.007272403;0.026356504;0.006064986;0.020291518
3337.1591;0.000518666;0.026676421;0.006154478;0.020521943
3337.2442;0.015433778;0.02700101;0.00624573;0.02075528
3337.3294;0.007364813;0.027330346;0.006338784;0.020991562
3337.4145;0.009755083;0.027664503;0.006433685;0.021230817
3337.4997;0.018557905;0.028003557;0.00653048;0.021473077
3337.5849;0.012754908;0.028347586;0.006629215;0.021718372
3337.67;0.011458591;0.028696669;0.006729938;0.021966731
3337.7552;0.004754805;0.029050884;0.0068327;0.022218184
3337.8403;0.008258297;0.029410313;0.006937552;0.022472761
3337.9255;0.023072406;0.029775037;0.007044548;0.022730489
3338.0107;0.003824018;0.03014514;0.007153741;0.022991399
3338.0958;0.015077794;0.030520706;0.00726519;0.023255516
3338.181;0.011910189;0.03090182;0.00737895;0.02352287
3338.2662;0.022135278;0.03128857;0.007495083;0.023793487
3338.3513;0.009561279;0.031681043;0.00761365;0.024067392
3338.4365;0.014992598;0.032079328;0.007734715;0.024344613
3338.5216;0.023184466;0.032483517;0.007858344;0.024625172
3338.6068;0.006274502;0.0328937;0.007984604;0.024909096
3338.692;0.014884651;0.033309971;0.008113565;0.025196406
3338.7771;0.016697999;0.033732425;0.0082453;0.025487125
3338.8623;0.007096983;0.034161157;0.008379882;0.025781275
3338.9474;0.020424052;0.034596263;0.008517389;0.026078875
3339.0326;0.033483794;0.035037844;0.008657899;0.026379944
3339.1178;0.014581229;0.035485997;0.008801496;0.026684501
3339.2029;0.022610615;0.035940825;0.008948262;0.026992562
3339.2881;0.023207544;0.036402429;0.009098287;0.027304142
3339.3733;0.017691085;0.036870914;0.009251659;0.027619255
3339.4584;0.021786318;0.037346384;0.009408472;0.027937912
3339.5436;0.016384036;0.037828948;0.009568822;0.028260125
3339.6287;0.014575023;0.038318711;0.00973281;0.028585902
3339.7139;0.022370566;0.038815785;0.009900537;0.028915249
