B (G);EPR intensity (au);Sim Sum;Sim A;Sim B
3319.8426;-0.001599251;0.001547218;0.000396744;0.001150475
3319.9276;-0.000710318;0.001604586;0.000399702;0.001204884
3320.0127;0.003167929;0.001662173;0.000402689;0.001259484
3320.0978;-0.003648744;0.001719838;0.000405706;0.001314131
3320.1829;-0.00203789;0.00177744;0.000408754;0.001368686
3320.268;-0.001102109;0.001834842;0.000411832;0.00142301
3320.3531;-0.001575353;0.001891916;0.000414941;0.001476975
3320.4382;-0.001339733;0.001948534;0.000418081;0.001530453
3320.5232;-0.001494513;0.002004581;0.000421254;0.001583328
3320.6083;0.004175736;0.002059948;0.000424458;0.00163549
3320.6934;-0.00137092;0.002114535;0.000427695;0.00168684
3320.7785;-0.00152186;0.002168252;0.000430964;0.001737287
3320.8636;0.000466594;0.00222102;0.000434268;0.001786752
3320.9487;-0.005776894;0.002272771;0.000437605;0.001835166
3321.0338;-0.003220632;0.002323447;0.000440976;0.001882471
3321.1189;-0.002553908;0.002373003;0.000444382;0.001928621
3321.2039;-0.001666255;0.002421403;0.000447823;0.00197358
3321.289;-0.00105585;0.002468623;0.000451299;0.002017324
3321.3741;-0.001318918;0.00251465;0.000454812;0.002059838
3321.4592;-0.000445089;0.002559481;0.000458361;0.002101119
3321.5443;-0.000713533;0.002603121;0.000461947;0.002141173
3321.6294;-0.002336986;0.002645586;0.000465571;0.002180015
3321.7145;0.000841613;0.0026869;0.000469233;0.002217668
3321.7996;-0.0008164;0.002727094;0.000472933;0.002254162
3321.8846;-0.000783788;0.002766206;0.000476672;0.002289534
3321.9697;-0.005528395;0.002804279;0.00048045;0.002323829
3322.0548;0.000462878;0.002841362;0.000484269;0.002357093
3322.1399;-0.002094976;0.002877509;0.000488128;0.002389381
3322.225;0.000461798;0.002912774;0.000492028;0.002420746
3322.3101;-0.000236726;0.002947219;0.00049597;0.002451249
3322.3952;0.00234488;0.002980903;0.000499954;0.002480949
3322.4802;-0.004894193;0.003013888;0.00050398;0.002509907
3322.5653;-0.001642378;0.003046236;0.00050805;0.002538186
3322.6504;0.000352732;0.003078011;0.000512164;0.002565847
3322.7355;0.000806464;0.003109273;0.000516322;0.00259295
3322.8206;0.000196004;0.003140082;0.000520526;0.002619556
3322.9057;-0.000456952;0.003170498;0.000524775;0.002645723
3322.9908;-0.003653782;0.003200578;0.000529071;0.002671507
3323.0759;0.001104338;0.003230376;0.000533413;0.002696963
3323.1609;0.002041655;0.003259944;0.000537803;0.002722141
3323.246;-0.000422503;0.003289332;0.000542241;0.00274709
3323.3311;0.006980099;0.003318586;0.000546729;0.002771858
