B (G);EPR intensity (au);Sim Sum;Sim A;Sim B
3341.0436;0.20822783;0.2174285;0.083881303;0.1335472
3341.1287;0.26557953;0.22034588;0.085310366;0.13503552
3341.2139;0.14045268;0.22330626;0.086770728;0.13653553
3341.2991;0.2543358;0.22631021;0.088263207;0.138047
3341.3842;0.16503581;0.2293583;0.089788646;0.13956965
3341.4694;0.13205547;0.23245112;0.091347914;0.1411032
3341.5545;0.20389595;0.23558924;0.092941904;0.14264733
3341.6397;0.27886175;0.23877325;0.094571538;0.14420171
3341.7249;0.32128473;0.24200374;0.096237762;0.14576598
3341.81;0.23087229;0.24528131;0.097941554;0.14733975
3341.8952;0.17413088;0.24860654;0.099683917;0.14892262
3341.9804;0.20854685;0.25198004;0.10146589;0.15051415
3342.0655;0.29060587;0.2554024;0.10328853;0.15211387
3342.1507;0.24070811;0.25887424;0.10515295;0.15372129
3342.2358;0.27464989;0.26239617;0.10706027;0.15533589
3342.321;0.25752546;0.26596878;0.10901166;0.15695712
3342.4062;0.2317292;0.26959271;0.11100832;0.15858439
3342.4913;0.36055443;0.27326856;0.11305149;0.16021708
3342.5765;0.26108653;0.27699696;0.11514243;0.16185454
3342.6617;0.35114156;0.28077854;0.11728246;0.16349608
3342.7468;0.13795376;0.28461392;0.11947293;0.16514098
3342.832;0.2424252;0.28850373;0.12171524;0.16678849
3342.9172;0.30662828;0.29244861;0.12401081;0.1684378
3343.0023;0.36978353;0.29644921;0.12636113;0.17008808
3343.0875;0.27011191;0.30050616;0.12876771;0.17173845
3343.1726;0.37416011;0.30462012;0.13123212;0.173388
3343.2578;0.32085795;0.30879174;0.13375597;0.17503577
3343.343;0.2940216;0.31302168;0.13634093;0.17668075
3343.4281;0.33234353;0.31731061;0.13898871;0.1783219
3343.5133;0.27163749;0.3216592;0.14170107;0.17995813
3343.5985;0.33766608;0.32606813;0.14447982;0.18158831
3343.6836;0.25238703;0.33053809;0.14732683;0.18321126
3343.7688;0.30969554;0.33506976;0.15024403;0.18482573
3343.8539;0.24798454;0.33966386;0.15323339;0.18643047
3343.9391;0.32041178;0.3443211;0.15629696;0.18802414
3344.0243;0.27729331;0.34904219;0.15943683;0.18960536
3344.1094;0.32796488;0.35382788;0.16265516;0.19117272
3344.1946;0.29453422;0.35867891;0.16595417;0.19272474
3344.2798;0.39003093;0.36359603;0.16933614;0.19425989
3344.3649;0.33833475;0.36858003;0.17280344;0.19577659
3344.4501;0.30794659;0.37363168;0.17635846;0.19727323
3344.5353;0.47493558;0.3787518;0.1800037;0.19874811
3344.6204;0.36134911;0.38394121;0.1837417;0.20019951
3344.7056;0.35293672;0.38920074;0.1875751;0.20162564
3344.7907;0.3923872;0.39453125;0.19150658;0.20302467
3344.8759;0.36317314;0.39993364;0.19553892;0.20439472
3344.9611;0.37395402;0.40540879;0.19967495;0.20573384
3345.0462;0.50978105;0.41095765;0.20391759;0.20704006
