Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,0.00345,6.97,0.634,1.62E-05,7.51E-06,9.16E-07,0.000181,1.42E-05,0.0947
3.9784,0.00344,1.11,0.609,1.83E-05,8.76E-06,1.67E-07,0.000197,1.5E-05,0.0746
3.9584,0.00365,0.467,0.585,2.12E-05,1.09E-05,7.67E-08,0.000221,1.74E-05,0.103
3.9384,0.00387,1.57,0.559,2.52E-05,1.4E-05,3.73E-07,0.000256,2.11E-05,0.15
3.9184,0.00398,-0.896,0.539,2.93E-05,1.68E-05,-2.68E-07,0.00029,2.43E-05,0.126
3.8984,0.00403,0.49,0.517,3.58E-05,2.11E-05,1.7E-07,0.000349,3.01E-05,0.182
3.8784,0.00427,0.275,0.503,4.22E-05,2.66E-05,1.34E-07,0.000408,3.6E-05,0.154
3.8584,0.00444,-0.24,0.481,5.11E-05,3.34E-05,-1.44E-07,0.00049,4.44E-05,0.178
3.8384,0.00465,-0.0112,0.468,6.05E-05,4.17E-05,1.2E-08,0.00058,5.3E-05,0.169
3.8184,0.00476,-0.736,0.453,7.24E-05,5.12E-05,-6.34E-07,0.000691,6.47E-05,0.188
3.7984,0.00489,-0.515,0.447,8.52E-05,6.2E-05,-5.72E-07,0.000819,7.73E-05,0.2
3.7784,0.00513,0.381,0.442,9.97E-05,7.58E-05,5.08E-07,0.000964,9.14E-05,0.207
3.7584,0.00517,0.506,0.43,0.000115,8.84E-05,7.99E-07,0.00112,0.000106,0.215
3.7384,0.00535,0.0144,0.428,0.000134,0.000106,2.51E-08,0.00132,0.000124,0.219
3.7184,0.00542,0.157,0.421,0.000151,0.00012,3.25E-07,0.00149,0.00014,0.225
3.6984,0.00554,-0.0294,0.424,0.000171,0.000139,-7.15E-08,0.00173,0.00016,0.247
3.6784,0.00561,0.34,0.426,0.00019,0.000156,9.16E-07,0.00194,0.000178,0.251
3.6584,0.00571,-0.186,0.426,0.000211,0.000175,-5.49E-07,0.0022,0.000198,0.255
3.6384,0.0057,-0.19,0.43,0.000232,0.000192,-6.43E-07,0.00247,0.000219,0.263
3.6184,0.00574,0.0342,0.432,0.000253,0.00021,8.44E-08,0.00275,0.000239,0.268
3.5984,0.00578,0.0574,0.434,0.000276,0.00023,2.27E-07,0.00304,0.000261,0.275
3.5784,0.0058,0.213,0.439,0.000298,0.000248,9.17E-07,0.00337,0.000283,0.279
3.5584,0.00576,0.116,0.445,0.000318,0.000262,5.1E-07,0.00367,0.000303,0.288
3.5384,0.00584,0.0255,0.453,0.000336,0.00028,1.73E-07,0.00401,0.000324,0.298
3.5184,0.00588,0.0177,0.457,0.000358,0.000298,4.77E-08,0.00439,0.000349,0.312
3.4984,0.00584,0.0321,0.463,0.000379,0.000312,1.79E-07,0.00477,0.000371,0.318
3.4784,0.00582,0.0468,0.465,0.0004,0.000328,3.01E-07,0.00516,0.000395,0.322
3.4584,0.00576,0.234,0.473,0.000417,0.000336,1.4E-06,0.00553,0.000414,0.325
3.4384,0.00572,0.0702,0.48,0.000436,0.000349,4.23E-07,0.00593,0.000435,0.336
3.4184,0.00569,0.0162,0.485,0.000456,0.000362,3.28E-08,0.00639,0.00046,0.343
3.3984,0.00561,0.38,0.496,0.000473,0.000371,2.47E-06,0.00689,0.000484,0.36
3.3784,0.00552,0,0.499,0.00049,0.000375,0,0.00735,0.000504,0.358
3.3584,0.0054,0.382,0.512,0.000507,0.000381,2.49E-06,0.00787,0.000529,0.373
3.3384,0.00529,0.21,0.52,0.00052,0.000379,1.39E-06,0.00838,0.000549,0.382
3.3184,0.0051,0.248,0.531,0.000536,0.000376,1.65E-06,0.00895,0.000572,0.387
3.2984,0.00493,0.443,0.547,0.000546,0.00037,2.79E-06,0.00952,0.000589,0.398
3.2784,0.0047,0.0915,0.56,0.000562,0.000361,5.96E-07,0.0102,0.000607,0.401
3.2584,0.00443,0.191,0.58,0.000571,0.000348,1.2E-06,0.0108,0.000623,0.408
3.2384,0.00415,0,0.593,0.000587,0.000334,0,0.0115,0.00064,0.404
3.2184,0.00392,0.0591,0.611,0.000596,0.000318,3.25E-07,0.0122,0.000657,0.409
3.1984,0.00365,0.0435,0.628,0.000613,0.000305,1.73E-07,0.013,0.000674,0.403
3.1784,0.00343,0,0.653,0.000625,0.000291,0,0.0139,0.000695,0.415
3.1584,0.00312,0.346,0.668,0.000647,0.000274,1.69E-06,0.0148,0.000717,0.409
3.1384,0.0029,0.419,0.684,0.000664,0.00026,1.9E-06,0.0158,0.000737,0.405
3.1184,0.00268,-0.579,0.707,0.000681,0.000245,-2.47E-06,0.0169,0.000759,0.403
3.0997,0.00243,-0.0094,0.718,0.000698,0.000228,-6.95E-08,0.0178,0.000776,0.395
3.0977,0.00243,-0.0198,0.72,0.00063,0.000205,-7.15E-08,0.016,0.0007,0.395
3.0777,0.00221,0.194,0.742,0.000639,0.000189,6.35E-07,0.0169,0.00071,0.39
3.0577,0.00199,-0.211,0.753,0.000648,0.000173,-6.52E-07,0.0176,0.000717,0.381
3.0377,0.00181,0.102,0.764,0.000656,0.000159,2.82E-07,0.0181,0.000725,0.378
3.0177,0.00164,0.281,0.783,0.000664,0.000145,7.24E-07,0.0189,0.000727,0.363
2.9977,0.00149,-0.16,0.792,0.000673,0.000133,-3.72E-07,0.0196,0.000734,0.355
2.9777,0.00136,0.033,0.799,0.000683,0.000124,7.05E-08,0.0202,0.000742,0.341
2.9577,0.00123,0.108,0.817,0.00069,0.000113,2.11E-07,0.0208,0.000747,0.339
2.9377,0.00113,0.532,0.821,0.000698,0.000104,9.85E-07,0.0212,0.000751,0.324
2.9177,0.00103,0.176,0.828,0.0007,9.54E-05,2.65E-07,0.0217,0.00075,0.318
2.8977,0.000936,-0.2,0.834,0.000707,8.69E-05,-2.89E-07,0.0221,0.000744,0.295
2.8777,0.00086,-0.0306,0.847,0.000708,7.96E-05,-4E-08,0.0225,0.000751,0.302
2.8577,0.000794,0.139,0.854,0.000715,7.46E-05,1.8E-07,0.0231,0.000751,0.281
2.8377,0.000727,0.189,0.858,0.000724,6.91E-05,2.27E-07,0.0236,0.000759,0.272
2.8177,0.000678,0.206,0.863,0.000733,6.52E-05,2.31E-07,0.0241,0.000759,0.255
2.7977,0.000657,0.202,0.867,0.000741,6.35E-05,2.2E-07,0.0246,0.000768,0.251
2.7777,0.000603,-0.161,0.866,0.000758,5.98E-05,-1.7E-07,0.0253,0.000776,0.234
2.7577,0.000579,0.806,0.868,0.000775,5.83E-05,8.22E-07,0.0261,0.000794,0.225
2.7377,0.00055,-0.0858,0.881,0.000801,5.74E-05,-8.69E-08,0.0273,0.000816,0.22
2.7177,0.000538,0.737,0.886,0.000835,5.86E-05,7.64E-07,0.0287,0.000845,0.213
2.6977,0.000545,0.678,0.885,0.000878,6.15E-05,7.36E-07,0.0303,0.000887,0.197
2.6777,0.000537,0.0142,0.894,0.000929,6.49E-05,4.72E-09,0.0323,0.000939,0.197
2.6577,0.000542,0.475,0.889,0.00098,6.84E-05,5.62E-07,0.0342,0.000981,0.182
2.6377,0.000549,0.221,0.897,0.00101,7.2E-05,2.74E-07,0.0353,0.00101,0.179
2.6177,0.000554,0.444,0.89,0.00102,7.27E-05,5.61E-07,0.0358,0.00101,0.171
2.5977,0.000562,1.23,0.888,0.000999,7.21E-05,1.56E-06,0.0353,0.000982,0.151
2.5777,0.000593,0.113,0.892,0.000954,7.24E-05,1.41E-07,0.034,0.000947,0.15
2.5577,0.000602,0.189,0.894,0.00092,7.12E-05,2.27E-07,0.0331,0.000913,0.138
2.5377,0.000617,0.48,0.904,0.000895,7.13E-05,5.94E-07,0.0322,0.000887,0.146
2.5177,0.000636,0.488,0.899,0.000869,7.05E-05,6.1E-07,0.0313,0.000853,0.13
2.4977,0.000651,0.925,0.9,0.000852,7.04E-05,1.14E-06,0.0305,0.000828,0.12
2.4777,0.000706,0.665,0.895,0.000818,7.39E-05,8.49E-07,0.0294,0.000794,0.116
2.4577,0.000775,0.574,0.893,0.000801,7.92E-05,7.86E-07,0.0289,0.000771,0.102
2.4377,0.000885,0.469,0.892,0.000784,8.87E-05,7.26E-07,0.0286,0.000759,0.104
2.4177,0.00103,0.848,0.898,0.000775,0.000103,1.52E-06,0.0283,0.000751,0.0975
2.3977,0.00121,0.634,0.878,0.000775,0.000119,1.31E-06,0.0279,0.000743,0.0744
2.3777,0.00143,0.884,0.891,0.000758,0.000138,2.12E-06,0.0272,0.000734,0.092
2.3577,0.0017,0.655,0.871,0.00075,0.000162,1.83E-06,0.0263,0.000717,0.0791
2.3377,0.00203,1.28,0.853,0.000741,0.000192,4.26E-06,0.0256,0.000708,0.0784
2.3177,0.00247,1.07,0.839,0.000733,0.000229,4.26E-06,0.025,0.0007,0.0756
2.2977,0.003,0.899,0.823,0.000724,0.000276,4.32E-06,0.0245,0.000707,0.0926
