Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,2.95E-03,1.27E+00,6.38E-01,1.59E-05,6.30E-06,9.31E-08,1.79E-04,1.40E-05,9.69E-02
3.9784,3.08E-03,-2.50E+00,6.14E-01,1.81E-05,7.70E-06,-3.42E-07,1.96E-04,1.63E-05,1.60E-01
3.9584,5.32E-03,9.77E+00,5.98E-01,2.09E-05,1.54E-05,2.55E-06,2.22E-04,1.83E-05,1.57E-01
3.9384,3.17E-03,2.10E+00,5.76E-01,2.47E-05,1.12E-05,4.09E-07,2.58E-04,2.16E-05,1.88E-01
3.9184,3.47E-03,2.25E+00,5.60E-01,2.87E-05,1.43E-05,5.51E-07,2.94E-04,2.54E-05,1.82E-01
3.8984,3.66E-03,2.93E+00,5.38E-01,3.50E-05,1.87E-05,9.59E-07,3.55E-04,3.07E-05,2.18E-01
3.8784,3.85E-03,1.49E+00,5.22E-01,4.17E-05,2.37E-05,6.06E-07,4.18E-04,3.74E-05,1.99E-01
3.8584,4.02E-03,1.35E+00,5.03E-01,5.02E-05,2.98E-05,7.03E-07,5.03E-04,4.57E-05,2.19E-01
3.8384,3.84E-03,3.14E+00,4.90E-01,5.96E-05,3.37E-05,1.74E-06,5.97E-04,5.44E-05,2.06E-01
3.8184,4.07E-03,5.48E-01,4.75E-01,7.16E-05,4.33E-05,3.95E-07,7.17E-04,6.75E-05,2.37E-01
3.7984,4.47E-03,-3.62E-01,4.66E-01,8.44E-05,5.61E-05,-3.82E-07,8.44E-04,8.02E-05,2.43E-01
3.7784,4.56E-03,6.26E-02,4.61E-01,9.89E-05,6.67E-05,6.11E-08,9.97E-04,9.55E-05,2.57E-01
3.7584,4.67E-03,4.63E-01,4.46E-01,1.14E-04,7.90E-05,6.53E-07,1.15E-03,1.10E-04,2.63E-01
3.7384,4.89E-03,1.17E+00,4.42E-01,1.32E-04,9.53E-05,1.96E-06,1.34E-03,1.30E-04,2.82E-01
