Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,2.90E-03,1.27E+01,6.60E-01,1.57E-05,5.77E-06,1.57E-06,1.83E-04,1.43E-05,1.29E-01
3.9784,2.55E-03,-1.65E+01,6.54E-01,1.74E-05,5.53E-06,-1.48E-06,2.01E-04,1.52E-05,1.33E-01
3.9584,2.86E-03,3.97E+00,6.33E-01,2.02E-05,8.07E-06,5.38E-07,2.28E-04,1.73E-05,1.36E-01
3.9384,2.89E-03,-7.11E+00,6.09E-01,2.40E-05,9.80E-06,-1.15E-06,2.65E-04,2.02E-05,1.56E-01
3.9184,3.03E-03,-6.17E-01,5.93E-01,2.78E-05,1.22E-05,-1.29E-07,3.03E-04,2.40E-05,1.60E-01
3.8984,3.36E-03,6.17E+00,5.74E-01,3.41E-05,1.65E-05,1.81E-06,3.70E-04,2.92E-05,1.94E-01
3.8784,3.78E-03,-1.40E+00,5.61E-01,4.05E-05,2.25E-05,-4.93E-07,4.38E-04,3.53E-05,1.73E-01
3.8584,3.67E-03,1.38E+00,5.41E-01,4.90E-05,2.65E-05,6.11E-07,5.28E-04,4.34E-05,1.94E-01
3.8384,3.82E-03,9.62E+00,5.29E-01,5.83E-05,3.21E-05,5.77E-06,6.31E-04,5.19E-05,1.85E-01
3.8184,3.97E-03,7.45E+00,5.16E-01,7.00E-05,4.07E-05,4.90E-06,7.60E-04,6.35E-05,2.02E-01
3.7984,4.05E-03,1.09E+00,5.09E-01,8.27E-05,5.00E-05,1.04E-06,9.04E-04,7.53E-05,2.03E-01
3.7784,4.05E-03,-5.12E-01,5.07E-01,9.64E-05,5.77E-05,-7.53E-07,1.07E-03,9.00E-05,2.24E-01
3.7584,4.37E-03,1.60E-01,4.90E-01,1.12E-04,7.24E-05,2.25E-07,1.24E-03,1.05E-04,2.34E-01
3.7384,4.47E-03,-4.52E-01,4.92E-01,1.30E-04,8.58E-05,-6.30E-07,1.47E-03,1.22E-04,2.31E-01
3.7184,4.48E-03,1.01E-01,4.84E-01,1.47E-04,9.68E-05,1.59E-07,1.67E-03,1.39E-04,2.39E-01
3.6984,4.66E-03,5.30E-01,4.89E-01,1.66E-04,1.14E-04,1.01E-06,1.94E-03,1.59E-04,2.67E-01
3.6784,4.65E-03,1.13E+00,4.88E-01,1.86E-04,1.26E-04,2.48E-06,2.18E-03,1.76E-04,2.60E-01
3.6584,4.69E-03,4.90E-01,4.86E-01,2.07E-04,1.41E-04,1.15E-06,2.46E-03,1.96E-04,2.60E-01
3.6384,4.73E-03,8.02E-01,4.87E-01,2.28E-04,1.57E-04,2.22E-06,2.75E-03,2.17E-04,2.71E-01
3.6184,4.80E-03,1.61E+00,4.94E-01,2.47E-04,1.71E-04,4.84E-06,3.06E-03,2.36E-04,2.81E-01
3.5984,4.80E-03,-1.33E-01,4.97E-01,2.69E-04,1.86E-04,-4.66E-07,3.39E-03,2.58E-04,2.90E-01
3.5784,4.84E-03,2.15E+00,5.02E-01,2.90E-04,2.01E-04,7.45E-06,3.75E-03,2.82E-04,3.01E-01
3.5584,4.92E-03,1.02E+00,5.06E-01,3.11E-04,2.20E-04,3.86E-06,4.09E-03,3.00E-04,2.97E-01
3.5384,4.78E-03,4.15E-01,5.07E-01,3.33E-04,2.27E-04,1.67E-06,4.44E-03,3.21E-04,2.99E-01
3.5184,4.86E-03,6.48E-01,5.11E-01,3.54E-04,2.44E-04,2.75E-06,4.86E-03,3.46E-04,3.13E-01
3.4984,4.93E-03,8.88E-01,5.15E-01,3.75E-04,2.60E-04,4.04E-06,5.25E-03,3.67E-04,3.19E-01
3.4784,4.86E-03,1.13E+00,5.20E-01,3.92E-04,2.68E-04,5.11E-06,5.65E-03,3.88E-04,3.25E-01
3.4584,4.95E-03,8.65E-01,5.27E-01,4.09E-04,2.84E-04,4.32E-06,6.05E-03,4.09E-04,3.31E-01
3.4384,4.72E-03,1.50E-01,5.35E-01,4.29E-04,2.83E-04,7.42E-07,6.50E-03,4.31E-04,3.42E-01
3.4184,4.78E-03,1.62E+00,5.37E-01,4.48E-04,2.99E-04,8.39E-06,6.96E-03,4.52E-04,3.42E-01
3.3984,4.67E-03,1.17E+00,5.48E-01,4.65E-04,3.03E-04,6.23E-06,7.47E-03,4.73E-04,3.55E-01
3.3784,4.56E-03,1.00E+00,5.48E-01,4.82E-04,3.04E-04,5.40E-06,7.93E-03,4.95E-04,3.54E-01
3.3584,4.59E-03,6.18E-01,5.60E-01,4.97E-04,3.18E-04,3.29E-06,8.44E-03,5.12E-04,3.60E-01
3.3384,4.41E-03,1.03E+00,5.67E-01,5.12E-04,3.11E-04,5.51E-06,8.98E-03,5.31E-04,3.65E-01
3.3184,4.24E-03,5.35E-01,5.74E-01,5.29E-04,3.08E-04,2.82E-06,9.52E-03,5.47E-04,3.56E-01
