Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
1.5583,1.31E-03,1.59E+00,8.78E-01,1.37E-03,2.38E-04,6.65E-06,4.09E-02,1.56E-03,2.68E-01
1.5383,1.16E-03,1.04E+00,9.00E-01,1.39E-03,2.08E-04,3.78E-06,4.11E-02,1.58E-03,2.75E-01
1.5183,1.02E-03,1.30E+00,9.09E-01,1.45E-03,1.85E-04,4.19E-06,4.22E-02,1.58E-03,2.47E-01
1.4983,8.93E-04,1.05E+00,9.07E-01,1.54E-03,1.70E-04,3.12E-06,4.38E-02,1.62E-03,2.22E-01
1.4783,7.93E-04,1.36E+00,9.17E-01,1.58E-03,1.56E-04,3.69E-06,4.55E-02,1.69E-03,2.18E-01
1.4583,6.92E-04,6.60E-01,9.26E-01,1.64E-03,1.42E-04,1.62E-06,4.76E-02,1.75E-03,2.20E-01
1.4383,5.68E-04,8.65E-01,9.25E-01,1.71E-03,1.24E-04,1.89E-06,5.04E-02,1.79E-03,2.03E-01
1.4183,4.44E-04,1.17E+00,9.23E-01,1.81E-03,1.04E-04,2.12E-06,5.39E-02,1.86E-03,1.92E-01
1.3983,3.47E-04,9.72E-01,9.23E-01,1.94E-03,8.71E-05,1.49E-06,5.80E-02,1.96E-03,1.80E-01
1.3783,2.73E-04,1.75E+00,9.29E-01,2.05E-03,7.22E-05,2.19E-06,6.19E-02,2.13E-03,1.82E-01
1.3583,2.21E-04,6.57E-01,9.35E-01,2.23E-03,6.21E-05,7.08E-07,6.70E-02,2.35E-03,1.73E-01
1.3383,1.81E-04,3.63E-01,9.41E-01,2.45E-03,5.46E-05,3.37E-07,7.29E-02,2.58E-03,1.70E-01
1.3183,1.62E-04,1.63E+00,9.50E-01,2.65E-03,5.14E-05,1.48E-06,7.82E-02,2.75E-03,1.59E-01
1.2983,1.47E-04,3.71E-01,9.46E-01,2.81E-03,4.92E-05,2.97E-07,8.25E-02,2.90E-03,1.45E-01
1.2783,1.43E-04,6.11E-01,9.51E-01,2.90E-03,4.96E-05,5.44E-07,8.60E-02,3.03E-03,1.45E-01
1.2583,1.43E-04,1.55E-01,9.56E-01,2.94E-03,5.05E-05,1.50E-07,8.84E-02,3.11E-03,1.50E-01
1.2383,1.37E-04,4.71E-01,9.47E-01,2.99E-03,4.95E-05,4.25E-07,9.01E-02,3.11E-03,1.36E-01
1.2183,1.34E-04,1.30E-01,9.51E-01,2.99E-03,4.84E-05,1.04E-07,9.10E-02,3.11E-03,1.35E-01
1.1983,1.31E-04,-2.69E-01,9.49E-01,2.99E-03,4.70E-05,-2.41E-07,9.13E-02,3.11E-03,1.29E-01
1.1783,1.31E-04,9.87E-01,9.46E-01,2.99E-03,4.71E-05,8.10E-07,9.10E-02,3.11E-03,1.19E-01
1.1583,1.35E-04,7.04E-01,9.49E-01,2.94E-03,4.76E-05,5.88E-07,9.03E-02,3.11E-03,1.20E-01
1.1383,1.50E-04,9.34E-01,9.54E-01,2.90E-03,5.16E-05,8.11E-07,8.90E-02,3.07E-03,1.08E-01
1.1183,1.65E-04,7.34E-02,9.58E-01,2.86E-03,5.53E-05,6.95E-08,8.74E-02,3.03E-03,1.10E-01
1.0983,1.76E-04,3.20E-02,9.57E-01,2.77E-03,5.70E-05,3.70E-08,8.48E-02,2.90E-03,9.73E-02
1.0783,1.91E-04,3.02E-01,9.59E-01,2.69E-03,5.96E-05,3.10E-07,8.28E-02,2.82E-03,9.16E-02
1.0583,1.88E-04,3.46E-01,9.58E-01,2.61E-03,5.69E-05,3.45E-07,8.05E-02,2.74E-03,9.14E-02
1.0383,1.67E-04,3.33E+00,9.54E-01,2.52E-03,4.85E-05,2.81E-06,7.78E-02,2.69E-03,1.05E-01
1.0183,1.33E-04,1.36E+00,9.47E-01,2.43E-03,3.72E-05,8.89E-07,7.48E-02,2.56E-03,9.28E-02
0.9983,9.72E-05,1.12E+00,9.46E-01,2.30E-03,2.58E-05,5.09E-07,7.17E-02,2.43E-03,8.75E-02
