Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,3.20E-03,-1.14E+01,6.45E-01,1.58E-05,6.31E-06,-1.50E-06,1.80E-04,1.43E-05,1.22E-01
3.9784,2.84E-03,6.61E+00,6.27E-01,1.77E-05,6.89E-06,8.06E-07,1.96E-04,1.56E-05,1.40E-01
3.9584,2.78E-03,-2.92E+00,6.06E-01,2.04E-05,7.97E-06,-3.69E-07,2.20E-04,1.74E-05,1.36E-01
3.9384,3.20E-03,-6.84E+00,5.77E-01,2.43E-05,1.10E-05,-1.21E-06,2.54E-04,2.11E-05,1.82E-01
3.9184,4.22E-03,-3.22E+00,5.60E-01,2.82E-05,1.57E-05,9.37E-07,2.90E-04,2.41E-05,1.51E-01
3.8984,2.71E-03,1.47E+01,5.36E-01,3.49E-05,1.33E-05,3.46E-06,3.53E-04,2.99E-05,1.99E-01
3.8784,3.27E-03,-4.35E-01,5.21E-01,4.13E-05,1.99E-05,-1.50E-07,4.14E-04,3.59E-05,1.70E-01
3.8584,3.46E-03,1.26E+00,5.02E-01,4.98E-05,2.55E-05,5.70E-07,4.99E-04,4.38E-05,1.89E-01
3.8384,3.88E-03,2.94E+00,4.89E-01,5.92E-05,3.39E-05,1.72E-06,5.93E-04,5.26E-05,1.83E-01
3.8184,3.36E-03,9.01E+00,4.76E-01,7.13E-05,3.45E-05,4.10E-06,7.15E-04,6.43E-05,1.97E-01
3.7984,4.02E-03,-3.05E+00,4.71E-01,8.35E-05,4.98E-05,-2.77E-06,8.44E-04,7.64E-05,2.06E-01
3.7784,3.93E-03,3.23E+00,4.65E-01,9.80E-05,5.68E-05,3.13E-06,9.98E-04,9.03E-05,2.12E-01
3.7584,3.99E-03,7.34E-01,4.50E-01,1.13E-04,6.71E-05,8.59E-07,1.15E-03,1.05E-04,2.22E-01
3.7384,4.16E-03,2.68E-01,4.50E-01,1.32E-04,8.10E-05,3.86E-07,1.37E-03,1.23E-04,2.25E-01
3.7184,4.26E-03,1.40E+00,4.47E-01,1.48E-04,9.28E-05,2.27E-06,1.56E-03,1.38E-04,2.27E-01
3.6984,4.30E-03,5.80E-01,4.46E-01,1.68E-04,1.06E-04,1.07E-06,1.79E-03,1.58E-04,2.49E-01
3.6784,4.35E-03,1.06E+00,4.48E-01,1.87E-04,1.19E-04,2.20E-06,2.02E-03,1.75E-04,2.44E-01
3.6584,4.39E-03,2.07E+00,4.47E-01,2.09E-04,1.33E-04,4.82E-06,2.28E-03,1.95E-04,2.47E-01
3.6384,4.56E-03,1.02E+00,4.49E-01,2.30E-04,1.52E-04,2.69E-06,2.56E-03,2.16E-04,2.61E-01
3.6184,4.43E-03,1.18E+00,4.50E-01,2.49E-04,1.59E-04,3.26E-06,2.82E-03,2.36E-04,2.72E-01
3.5984,4.43E-03,8.94E-01,4.57E-01,2.72E-04,1.73E-04,2.69E-06,3.16E-03,2.58E-04,2.78E-01
3.5784,4.46E-03,9.46E-01,4.62E-01,2.94E-04,1.88E-04,3.11E-06,3.50E-03,2.82E-04,2.89E-01
3.5584,4.44E-03,1.50E+00,4.64E-01,3.15E-04,2.01E-04,5.24E-06,3.80E-03,3.03E-04,2.95E-01
3.5384,4.51E-03,1.26E+00,4.73E-01,3.32E-04,2.13E-04,4.73E-06,4.13E-03,3.23E-04,3.06E-01
3.5184,4.50E-03,1.31E+00,4.73E-01,3.56E-04,2.27E-04,5.18E-06,4.52E-03,3.46E-04,3.07E-01
3.4984,4.54E-03,1.25E+00,4.81E-01,3.75E-04,2.39E-04,5.20E-06,4.90E-03,3.67E-04,3.19E-01
3.4784,4.49E-03,1.52E+00,4.83E-01,3.96E-04,2.50E-04,6.60E-06,5.29E-03,3.90E-04,3.20E-01
3.4584,4.45E-03,1.09E+00,4.93E-01,4.13E-04,2.57E-04,4.87E-06,5.70E-03,4.10E-04,3.24E-01
3.4384,4.44E-03,8.75E-01,5.00E-01,4.30E-04,2.67E-04,4.09E-06,6.10E-03,4.31E-04,3.39E-01
3.4184,4.45E-03,3.05E+00,5.05E-01,4.50E-04,2.79E-04,1.49E-05,6.56E-03,4.54E-04,3.43E-01
3.3984,4.28E-03,1.82E+00,5.14E-01,4.69E-04,2.81E-04,9.03E-06,7.07E-03,4.77E-04,3.57E-01
3.3784,4.22E-03,7.16E-01,5.17E-01,4.85E-04,2.83E-04,3.29E-06,7.52E-03,4.95E-04,3.50E-01
3.3584,4.17E-03,1.26E+00,5.31E-01,4.99E-04,2.90E-04,6.24E-06,8.03E-03,5.20E-04,3.73E-01
3.3384,4.03E-03,1.48E+00,5.40E-01,5.12E-04,2.84E-04,7.42E-06,8.56E-03,5.38E-04,3.76E-01
3.3184,3.84E-03,1.61E+00,5.48E-01,5.28E-04,2.79E-04,7.91E-06,9.08E-03,5.55E-04,3.72E-01
3.2984,3.83E-03,2.03E+00,5.62E-01,5.38E-04,2.82E-04,1.01E-05,9.64E-03,5.72E-04,3.83E-01
3.2784,3.58E-03,1.40E+00,5.74E-01,5.53E-04,2.71E-04,6.75E-06,1.03E-02,5.89E-04,3.85E-01
3.2584,3.41E-03,1.42E+00,5.94E-01,5.62E-04,2.63E-04,6.51E-06,1.09E-02,6.06E-04,3.94E-01
3.2384,3.21E-03,1.43E+00,6.05E-01,5.79E-04,2.55E-04,6.32E-06,1.15E-02,6.23E-04,3.91E-01
3.2184,3.06E-03,1.89E+00,6.23E-01,5.87E-04,2.45E-04,8.12E-06,1.23E-02,6.40E-04,3.96E-01
3.1984,2.85E-03,1.46E+00,6.36E-01,6.04E-04,2.34E-04,5.96E-06,1.30E-02,6.57E-04,3.90E-01
3.1784,2.66E-03,1.60E+00,6.58E-01,6.20E-04,2.24E-04,6.26E-06,1.39E-02,6.74E-04,3.89E-01
3.1584,2.51E-03,1.54E+00,6.75E-01,6.39E-04,2.17E-04,5.81E-06,1.48E-02,6.99E-04,3.96E-01
3.1384,2.33E-03,1.56E+00,6.88E-01,6.56E-04,2.07E-04,5.59E-06,1.57E-02,7.17E-04,3.89E-01
3.1184,2.17E-03,1.60E+00,7.06E-01,6.73E-04,1.96E-04,5.46E-06,1.67E-02,7.34E-04,3.80E-01
3.0997,1.99E-03,1.72E+00,7.18E-01,6.90E-04,1.85E-04,5.52E-06,1.76E-02,7.51E-04,3.72E-01
3.0977,2.01E-03,9.75E-01,7.22E-01,6.22E-04,1.67E-04,2.80E-06,1.59E-02,6.82E-04,3.81E-01
3.0777,1.83E-03,1.72E+00,7.41E-01,6.31E-04,1.54E-04,4.64E-06,1.66E-02,6.91E-04,3.74E-01
3.0577,1.69E-03,1.65E+00,7.51E-01,6.41E-04,1.45E-04,4.16E-06,1.73E-02,7.00E-04,3.67E-01
3.0377,1.54E-03,1.61E+00,7.63E-01,6.47E-04,1.34E-04,3.76E-06,1.79E-02,7.06E-04,3.63E-01
3.0177,1.38E-03,1.18E+00,7.79E-01,6.56E-04,1.20E-04,2.45E-06,1.85E-02,7.08E-04,3.48E-01
2.9977,1.27E-03,2.06E+00,7.87E-01,6.65E-04,1.12E-04,4.02E-06,1.92E-02,7.17E-04,3.44E-01
2.9777,1.16E-03,2.20E+00,7.95E-01,6.74E-04,1.04E-04,3.98E-06,1.98E-02,7.25E-04,3.30E-01
2.9577,1.07E-03,1.31E+00,8.12E-01,6.83E-04,9.65E-05,2.19E-06,2.05E-02,7.30E-04,3.26E-01
2.9377,9.91E-04,1.98E+00,8.20E-01,6.90E-04,9.06E-05,3.12E-06,2.10E-02,7.34E-04,3.12E-01
2.9177,9.14E-04,1.81E+00,8.17E-01,6.98E-04,8.42E-05,2.67E-06,2.13E-02,7.34E-04,2.97E-01
2.8977,8.43E-04,1.56E+00,8.31E-01,6.98E-04,7.73E-05,2.10E-06,2.17E-02,7.34E-04,2.93E-01
2.8777,7.88E-04,2.17E+00,8.38E-01,7.04E-04,7.25E-05,2.73E-06,2.22E-02,7.34E-04,2.84E-01
2.8577,7.40E-04,1.61E+00,8.49E-01,7.08E-04,6.88E-05,1.94E-06,2.27E-02,7.42E-04,2.79E-01
2.8377,6.96E-04,1.70E+00,8.55E-01,7.16E-04,6.54E-05,1.95E-06,2.33E-02,7.43E-04,2.61E-01
2.8177,6.56E-04,1.81E+00,8.59E-01,7.24E-04,6.24E-05,1.96E-06,2.37E-02,7.51E-04,2.56E-01
2.7977,6.16E-04,1.87E+00,8.56E-01,7.40E-04,5.95E-05,1.94E-06,2.43E-02,7.59E-04,2.41E-01
2.7777,5.79E-04,1.68E+00,8.62E-01,7.50E-04,5.68E-05,1.66E-06,2.49E-02,7.68E-04,2.34E-01
2.7577,5.63E-04,1.50E+00,8.65E-01,7.67E-04,5.61E-05,1.47E-06,2.57E-02,7.85E-04,2.26E-01
2.7377,5.34E-04,1.54E+00,8.75E-01,7.92E-04,5.51E-05,1.49E-06,2.68E-02,8.10E-04,2.24E-01
2.7177,5.12E-04,1.46E+00,8.80E-01,8.26E-04,5.52E-05,1.40E-06,2.82E-02,8.38E-04,2.15E-01
2.6977,5.21E-04,1.73E+00,8.79E-01,8.69E-04,5.83E-05,1.78E-06,2.98E-02,8.79E-04,1.98E-01
2.6777,5.11E-04,1.88E+00,8.88E-01,9.24E-04,6.14E-05,2.01E-06,3.19E-02,9.31E-04,1.95E-01
2.6577,5.14E-04,2.34E+00,8.87E-01,9.72E-04,6.43E-05,2.63E-06,3.38E-02,9.81E-04,1.91E-01
2.6377,5.16E-04,2.08E+00,8.91E-01,1.01E-03,6.74E-05,2.45E-06,3.49E-02,1.01E-03,1.85E-01
2.6177,5.27E-04,1.76E+00,8.92E-01,1.01E-03,6.81E-05,2.10E-06,3.54E-02,1.00E-03,1.78E-01
2.5977,5.35E-04,2.07E+00,8.91E-01,9.81E-04,6.74E-05,2.43E-06,3.48E-02,9.81E-04,1.69E-01
2.5777,5.54E-04,2.37E+00,8.88E-01,9.46E-04,6.70E-05,2.77E-06,3.36E-02,9.47E-04,1.59E-01
2.5577,5.68E-04,2.47E+00,8.88E-01,9.13E-04,6.65E-05,2.86E-06,3.26E-02,9.13E-04,1.46E-01
2.5377,5.93E-04,2.03E+00,8.95E-01,8.93E-04,6.83E-05,2.42E-06,3.18E-02,8.88E-04,1.49E-01
