Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,3.30E-03,-4.32E-01,6.75E-01,1.54E-05,6.85E-06,-2.40E-08,1.83E-04,1.39E-05,1.17E-01
3.9784,2.90E-03,-1.09E+01,6.39E-01,1.78E-05,7.04E-06,-1.35E-06,2.01E-04,1.52E-05,1.12E-01
3.9584,3.04E-03,-6.79E-01,6.16E-01,2.07E-05,8.85E-06,-1.04E-07,2.27E-04,1.77E-05,1.37E-01
3.9384,3.31E-03,1.64E+00,5.94E-01,2.45E-05,1.16E-05,3.35E-07,2.65E-04,2.11E-05,1.75E-01
3.9184,3.27E-03,-4.20E-01,5.81E-01,2.84E-05,1.34E-05,-9.70E-08,3.03E-04,2.39E-05,1.38E-01
3.8984,3.44E-03,7.41E-01,5.56E-01,3.49E-05,1.75E-05,2.24E-07,3.67E-04,3.00E-05,1.99E-01
3.8784,3.67E-03,8.13E-01,5.46E-01,4.14E-05,2.24E-05,3.14E-07,4.35E-04,3.57E-05,1.64E-01
3.8584,3.88E-03,7.61E-01,5.27E-01,4.99E-05,2.85E-05,3.86E-07,5.23E-04,4.37E-05,1.85E-01
3.8384,3.96E-03,1.32E+00,5.12E-01,5.94E-05,3.49E-05,8.04E-07,6.23E-04,5.34E-05,1.93E-01
3.8184,4.06E-03,2.17E-01,4.97E-01,7.17E-05,4.33E-05,1.65E-07,7.51E-04,6.47E-05,1.97E-01
3.7984,4.22E-03,9.14E-02,4.94E-01,8.36E-05,5.26E-05,8.32E-08,8.87E-04,7.68E-05,2.11E-01
3.7784,4.46E-03,5.89E-01,4.89E-01,9.81E-05,6.48E-05,6.56E-07,1.05E-03,9.14E-05,2.22E-01
3.7584,4.56E-03,8.40E-02,4.77E-01,1.13E-04,7.63E-05,1.19E-07,1.22E-03,1.06E-04,2.36E-01
3.7384,4.62E-03,-3.12E-01,4.72E-01,1.32E-04,8.98E-05,-5.01E-07,1.43E-03,1.24E-04,2.36E-01
3.7184,4.78E-03,4.45E-01,4.68E-01,1.47E-04,1.03E-04,8.13E-07,1.62E-03,1.40E-04,2.46E-01
3.6984,4.82E-03,3.41E-01,4.67E-01,1.69E-04,1.19E-04,7.05E-07,1.88E-03,1.60E-04,2.60E-01
3.6784,4.85E-03,1.82E-01,4.69E-01,1.87E-04,1.33E-04,4.23E-07,2.11E-03,1.77E-04,2.59E-01
3.6584,4.93E-03,2.47E-01,4.69E-01,2.08E-04,1.49E-04,6.35E-07,2.39E-03,1.98E-04,2.66E-01
3.6384,5.02E-03,-4.84E-02,4.70E-01,2.28E-04,1.66E-04,-1.43E-07,2.66E-03,2.20E-04,2.83E-01
3.6184,5.03E-03,1.13E-01,4.70E-01,2.50E-04,1.81E-04,3.52E-07,2.94E-03,2.40E-04,2.86E-01
3.5984,5.08E-03,6.18E-02,4.72E-01,2.71E-04,1.97E-04,2.12E-07,3.25E-03,2.61E-04,2.96E-01
3.5784,5.08E-03,1.55E-01,4.73E-01,2.94E-04,2.14E-04,5.84E-07,3.58E-03,2.85E-04,3.01E-01
3.5584,5.13E-03,2.43E-01,4.85E-01,3.12E-04,2.30E-04,9.55E-07,3.92E-03,3.07E-04,3.20E-01
3.5384,5.19E-03,2.21E-01,4.87E-01,3.33E-04,2.46E-04,9.74E-07,4.27E-03,3.27E-04,3.18E-01
3.5184,5.10E-03,-2.35E-01,4.90E-01,3.54E-04,2.56E-04,-1.05E-06,4.65E-03,3.50E-04,3.26E-01
3.4984,5.08E-03,2.40E-01,4.94E-01,3.75E-04,2.69E-04,1.10E-06,5.04E-03,3.73E-04,3.33E-01
3.4784,5.07E-03,-5.96E-01,5.02E-01,3.93E-04,2.80E-04,-2.92E-06,5.45E-03,3.95E-04,3.43E-01
